"","database_id","target_id","comparator_id","analysis_id","preference_score","target_density","comparator_density"
"1.20","CDMPv535_ABMI",3606,3610,1,0.191919191919192,0.301893466935123,0.324749340681626
"1.21","CDMPv535_ABMI",3606,3610,1,0.202020202020202,0.36611535588214,0.59956700815795
"1.22","CDMPv535_ABMI",3606,3610,1,0.212121212121212,0.437278199804354,1.01376358776423
"1.23","CDMPv535_ABMI",3606,3610,1,0.222222222222222,0.514256745571499,1.57275700327448
"1.24","CDMPv535_ABMI",3606,3610,1,0.232323232323232,0.595667897096836,2.24795737750889
"1.25","CDMPv535_ABMI",3606,3610,1,0.242424242424242,0.679759044839459,2.97700509282716
"1.26","CDMPv535_ABMI",3606,3610,1,0.252525252525253,0.764380901708344,3.67965099600817
"1.27","CDMPv535_ABMI",3606,3610,1,0.262626262626263,0.847215839689857,4.28074452341827
"1.28","CDMPv535_ABMI",3606,3610,1,0.272727272727273,0.925920785317455,4.72580934682392
"1.29","CDMPv535_ABMI",3606,3610,1,0.282828282828283,0.99808999703998,4.98110021345847
"1.30","CDMPv535_ABMI",3606,3610,1,0.292929292929293,1.06179826252615,5.02343297652965
"1.31","CDMPv535_ABMI",3606,3610,1,0.303030303030303,1.1155839574959,4.84278799161063
"1.32","CDMPv535_ABMI",3606,3610,1,0.313131313131313,1.15852571971802,4.44967245915645
"1.33","CDMPv535_ABMI",3606,3610,1,0.323232323232323,1.19018826052826,3.89060873266239
"1.34","CDMPv535_ABMI",3606,3610,1,0.333333333333333,1.21144947631764,3.24664550633492
"1.35","CDMPv535_ABMI",3606,3610,1,0.343434343434343,1.22369138465738,2.60990937345875
"1.36","CDMPv535_ABMI",3606,3610,1,0.353535353535354,1.22895670184337,2.05133727887537
"1.37","CDMPv535_ABMI",3606,3610,1,0.363636363636364,1.22995736352535,1.60085927613454
"1.38","CDMPv535_ABMI",3606,3610,1,0.373737373737374,1.22985034041522,1.25149893827439
"1.39","CDMPv535_ABMI",3606,3610,1,0.383838383838384,1.23180719467503,0.980068791730525
"1.40","CDMPv535_ABMI",3606,3610,1,0.393939393939394,1.23899083513957,0.769593222470085
"1.41","CDMPv535_ABMI",3606,3610,1,0.404040404040404,1.2540668392449,0.620265417655723
"1.42","CDMPv535_ABMI",3606,3610,1,0.414141414141414,1.27892713705041,0.54563380953942
"1.43","CDMPv535_ABMI",3606,3610,1,0.424242424242424,1.31465001011102,0.561834362345342
"1.44","CDMPv535_ABMI",3606,3610,1,0.434343434343434,1.36155142403687,0.676524829574922
"1.45","CDMPv535_ABMI",3606,3610,1,0.444444444444444,1.41834764642188,0.881781593366927
"1.46","CDMPv535_ABMI",3606,3610,1,0.454545454545455,1.48294589630877,1.15286111712204
"1.47","CDMPv535_ABMI",3606,3610,1,0.464646464646465,1.55237652390781,1.45358115360991
"1.48","CDMPv535_ABMI",3606,3610,1,0.474747474747475,1.62285225900474,1.74701323881866
"1.49","CDMPv535_ABMI",3606,3610,1,0.484848484848485,1.69012473178099,2.00777713302038
"1.50","CDMPv535_ABMI",3606,3610,1,0.494949494949495,1.74990156454325,2.2260754114259
"1.51","CDMPv535_ABMI",3606,3610,1,0.505050505050505,1.7978657959379,2.40099430473022
"1.52","CDMPv535_ABMI",3606,3610,1,0.515151515151515,1.83024917263565,2.52722508003899
"1.53","CDMPv535_ABMI",3606,3610,1,0.525252525252525,1.84431109123629,2.58647306021236
"1.54","CDMPv535_ABMI",3606,3610,1,0.535353535353535,1.83808027694074,2.55281720674795
"1.55","CDMPv535_ABMI",3606,3610,1,0.545454545454546,1.81019987213431,2.41012211444133
"1.56","CDMPv535_ABMI",3606,3610,1,0.555555555555556,1.76117487026114,2.16909641600876
"1.57","CDMPv535_ABMI",3606,3610,1,0.565656565656566,1.69237820051408,1.87055194572478
"1.58","CDMPv535_ABMI",3606,3610,1,0.575757575757576,1.60597860045677,1.56736618110172
"1.59","CDMPv535_ABMI",3606,3610,1,0.585858585858586,1.50473840391585,1.30155177365102
"1.60","CDMPv535_ABMI",3606,3610,1,0.595959595959596,1.39268332071749,1.08862574459539
"1.61","CDMPv535_ABMI",3606,3610,1,0.606060606060606,1.27382066608504,0.91847445598546
"1.62","CDMPv535_ABMI",3606,3610,1,0.616161616161616,1.1523694588763,0.769404757751801
