"","database_id","target_id","comparator_id","analysis_id","covariate_id","coefficient"
"9.3","CDMPv535_ABMI",3606,3610,9,4320791210,1.38631961425506
"9.4","CDMPv535_ABMI",3606,3610,9,8532001,0.14864288402926
"9.5","CDMPv535_ABMI",3606,3610,9,8003,0.122276988098147
"9.6","CDMPv535_ABMI",3606,3610,9,9003,0.0713908354311832
"9.7","CDMPv535_ABMI",3606,3610,9,316866210,-0.055779859819091
"9.8","CDMPv535_ABMI",3606,3610,9,255848210,-0.0189321860684379
"10.1","CDMPv535_ABMI",3606,3610,10,0,-2.76122520917733
"10.2","CDMPv535_ABMI",3606,3610,10,259848210,1.42850818563943
"10.3","CDMPv535_ABMI",3606,3610,10,4320791210,1.38631961425506
"10.4","CDMPv535_ABMI",3606,3610,10,8532001,0.14864288402926
"10.5","CDMPv535_ABMI",3606,3610,10,8003,0.122276988098147
"10.6","CDMPv535_ABMI",3606,3610,10,9003,0.0713908354311832
"10.7","CDMPv535_ABMI",3606,3610,10,316866210,-0.055779859819091
"10.8","CDMPv535_ABMI",3606,3610,10,255848210,-0.0189321860684379
